longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-53.5786743164062	-53.701171875:-53.4561767578	-25.5872921929054	-25.7121570111:-25.4624273747	20160116120000	20160116000000:20160117000000	798.144104003906	0.0:1596.28820801	0.0149206	0.0230586	0.000394839
-53.5786743164062	-53.701171875:-53.4561767578	-25.3375625564543	-25.4624273747:-25.2126977382	20160116120000	20160116000000:20160117000000	798.144104003906	0.0:1596.28820801	-0.00376313	0.00755152	0.000394112
-53.5786743164062	-53.701171875:-53.4561767578	-25.0878329200032	-25.2126977382:-24.9629681018	20160116120000	20160116000000:20160117000000	798.144104003906	0.0:1596.28820801	0.020518	-0.0292494	0.000393182
-53.5786743164062	-53.701171875:-53.4561767578	-24.8381032835521	-24.9629681018:-24.7132384653	20160116120000	20160116000000:20160117000000	798.144104003906	0.0:1596.28820801	0.015189	0.0465317	0.000392477
-53.5786743164062	-53.701171875:-53.4561767578	-24.3386440106499	-24.4635088289:-24.2137791924	20160107120000	20160107000000:20160108000000	798.144104003906	0.0:1596.28820801	0.0187988	0.133179	0.00039736
-53.5786743164062	-53.701171875:-53.4561767578	-24.0889143741988	-24.2137791924:-23.964049556	20160107120000	20160107000000:20160108000000	798.144104003906	0.0:1596.28820801	0.018908	0.0221193	0.000397168
-53.5786743164062	-53.701171875:-53.4561767578	-23.8391847377477	-23.964049556:-23.7143199195	20160107120000	20160107000000:20160108000000	798.144104003906	0.0:1596.28820801	0.0208229	0.0174168	0.00039615
-53.5786743164062	-53.701171875:-53.4561767578	-23.5894551012966	-23.7143199195:-23.4645902831	20160107120000	20160107000000:20160108000000	798.144104003906	0.0:1596.28820801	-0.0166016	0.00823975	0.00039822
-53.5786743164062	-53.701171875:-53.4561767578	-23.3397254648455	-23.4645902831:-23.2148606466	20160107120000	20160107000000:20160108000000	798.144104003906	0.0:1596.28820801	0.00494385	-0.00365247	0.000395364
-53.5786743164062	-53.701171875:-53.4561767578	-23.0899958283945	-23.2148606466:-22.9651310102	20160107120000	20160107000000:20160108000000	798.144104003906	0.0:1596.28820801	-0.0285645	0.0197144	0.000395228
-53.3336791992188	-53.4561767578:-53.2111816406	-24.3386440106499	-24.4635088289:-24.2137791924	20160107120000	20160107000000:20160108000000	798.144104003906	0.0:1596.28820801	0.0109863	0.0829468	0.000396692
-53.3336791992188	-53.4561767578:-53.2111816406	-24.0889143741988	-24.2137791924:-23.964049556	20160107120000	20160107000000:20160108000000	798.144104003906	0.0:1596.28820801	0.00998463	0.0158763	0.000396289
-53.0886840820312	-53.2111816406:-52.9661865234	-25.5872921929054	-25.7121570111:-25.4624273747	20160107120000	20160107000000:20160108000000	798.144104003906	0.0:1596.28820801	0.0136252	0.0219619	0.000397894
-53.0886840820312	-53.2111816406:-52.9661865234	-25.3375625564543	-25.4624273747:-25.2126977382	20160107120000	20160107000000:20160108000000	798.144104003906	0.0:1596.28820801	0.00915762	0.0394404	0.000396183
-51.8637084960938	-51.9862060547:-51.7412109375	-19.5937809180792	-19.7186457363:-19.4689160999	20160102120000	20160102000000:20160103000000	798.144104003906	0.0:1596.28820801	0.00982666	0.00217692	0.000396952
-51.8637084960938	-51.9862060547:-51.7412109375	-19.3440512816281	-19.4689160999:-19.2191864634	20160102120000	20160102000000:20160103000000	798.144104003906	0.0:1596.28820801	0.00549316	-0.00518799	0.000396781
-51.6187133789062	-51.7412109375:-51.4962158203	-21.0921587367857	-21.217023555:-20.9672939186	20160102120000	20160102000000:20160103000000	798.144104003906	0.0:1596.28820801	0.0191171	0.0117514	0.000393363
-51.6187133789062	-51.7412109375:-51.4962158203	-20.8424291003346	-20.9672939186:-20.7175642821	20160102120000	20160102000000:20160103000000	798.144104003906	0.0:1596.28820801	0.0182874	0.0271935	0.000395992
-51.6187133789062	-51.7412109375:-51.4962158203	-20.5926994638836	-20.7175642821:-20.4678346457	20160102120000	20160102000000:20160103000000	798.144104003906	0.0:1596.28820801	0.03125	0.00109863	0.00039289
-51.6187133789062	-51.7412109375:-51.4962158203	-19.3440512816281	-19.4689160999:-19.2191864634	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0102262	0.032737	0.000391994
-51.3737182617188	-51.4962158203:-51.2512207031	-22.3408069190412	-22.4656717373:-22.2159421008	20160102120000	20160102000000:20160103000000	798.144104003906	0.0:1596.28820801	0.0112915	-0.0222168	0.000383519
